Sales Reporting ID,Reporting Name,OPERATOR_AK-OP Operator ID,OPERATOR_EIA operator Number,PCE Reporting ID,OPERATOR_RCA CPCN,OPERATOR_Operator Name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,Index Community,GNIS,Latitude,Longitude,AEA energy region,Communities reported,Notes
SR-1,Alaska Electric Light&Power Co,AK-OP-133,213,NA,1,Alaska Electric Light&Power Co,222-0000,Juneau_grid,Juneau,1404263,58.301944399999996,-134.4197222,Southeast,"Juneau, Douglas, Greens Creek (Industrial)",NA
SR-10,TDX North Slope Generating Co,AK-OP-117,19277,NA,227,TDX North Slope Generating Co,224_0000,Deadhorse_grid,Deadhorse,1866941,70.2055556,-148.5116667,North Slope,Deadhorse,NA
SR-100,Koyuk,AK-OP-006,221,331420,169,Alaska Village Electric Cooperative,060-0000,Koyuk_grid,Koyuk,1404981,64.9319444,-161.1569444,Bering Straits,Koyuk,NA
SR-101,Koyukuk,AK-OP-049,NA,332140,687,"Koyukuk, City of",136-0000,Koyukuk_grid,Koyukuk,1404984,64.8802778,-157.7008333,Yukon-Koyukuk/Upper Tanana,Koyukuk,NA
SR-102,Kwethluk,AK-OP-050,9832,332150,281,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,137-0000,Kwethluk_grid,Kwethluk,1405119,60.8122222,-161.4358333,Lower Yukon-Kuskokwim,Kwethluk,NA
SR-103,Kwigillingok,AK-OP-051,10491,332160,376,Kwigillingok Power Company,138-0000,Kwigillingok_grid,Kwigillingok,1405122,59.864444399999996,-163.1341667,Lower Yukon-Kuskokwim,Kwigillingok,NA
SR-104,Larsen Bay,AK-OP-052,10716,332170,353,Larsen Bay Utility Company,139-0000,Larsen Bay_grid,Larsen Bay,1405216,57.54,-153.9786111,Kodiak,Larsen Bay,NA
SR-105,Levelock,AK-OP-053,NA,332180,330,Levelock Electrical Coop,140-0000,Levelock_grid,Levelock,1405300,59.1141667,-156.8588889,Bristol Bay,Levelock,NA
SR-106,Lime Village,AK-OP-054,NA,332190,570,Lime Village Electric Utility,141-0000,Lime Village_grid,Lime Village,1405351,61.3563889,-155.4355556,Lower Yukon-Kuskokwim,Lime Village,NA
SR-107,Lower Kalskag,AK-OP-006,221,331430,169,Alaska Village Electric Cooperative,052-0000,Kalskag_grid,Lower Kalskag,1405763,61.5122222,-160.3580556,Lower Yukon-Kuskokwim,Lower Kalskag,NA
SR-108,Manley Hot Springs,AK-OP-090,56503,332200,72,TDX Manley Generating LLC,188-0000,Manley Hot Springs_grid,Manley Hot Springs,1405922,65.0011111,-150.6338889,Yukon-Koyukuk/Upper Tanana,Manley Hot Springs,NA
SR-109,Manokotak,AK-OP-056,26317,332210,321,Manokotak Power Company,142-0000,Manokotak_grid,Manokotak,1405927,58.9813889,-159.0583333,Bristol Bay,Manokotak,NA
SR-11,Adak,AK-OP-088,NA,331005,684,TDX Adak Generating LLC,186-0000,Adak_grid,Adak,1418109,51.88,-176.6580556,Aleutians,Adak,NA
SR-110,Marshall,AK-OP-006,221,331440,169,Alaska Village Electric Cooperative,061-0000,Marshall_grid,Marshall,1405984,61.8777778,-162.0811111,Lower Yukon-Kuskokwim,Marshall,NA
SR-111,McGrath,AK-OP-057,12119,332220,44,McGrath Light & Power,143-0000,McGrath_grid,McGrath,1406131,62.9563889,-155.5958333,Yukon-Koyukuk/Upper Tanana,McGrath,NA
SR-112,Mekoryuk,AK-OP-006,221,331450,169,Alaska Village Electric Cooperative,062-0000,Mekoryuk_grid,Mekoryuk,1406211,60.3880556,-166.185,Lower Yukon-Kuskokwim,Mekoryuk,NA
SR-113,Mentasta Lake,AK-OP-005,219,331160,2,Alaska Power & Telephone Company,026-2012,Slana_grid,Mentasta Lake,1406241,62.9211111,-143.7691667,Copper River/Chugach,Mentasta Lake,NA
SR-114,Minto,AK-OP-006,221,331460,169,Alaska Village Electric Cooperative,063-0000,Minto_grid,Minto,1406419,65.150411,-149.349708,Yukon-Koyukuk/Upper Tanana,Minto,NA
SR-115,Mountain Village,AK-OP-006,221,331470,169,Alaska Village Electric Cooperative,075-2020,Mountain Village_grid,Mountain Village,1406655,62.0855556,-163.7294444,Lower Yukon-Kuskokwim,Mountain Village,NA
SR-116,"Naknek, South Naknek, King Salmon",AK-OP-059,13201,332280,22,Naknek Electric Association,150-0000,Naknek_grid,Naknek,1406798,58.7283333,-157.0138889,Bristol Bay,"Naknek, South Naknek, King Salmon",NA
SR-117,Napakiak,AK-OP-060,13211,332290,319,Napakiak Ircinraq,034-1988,Bethel_grid,Napakiak,1406829,60.6966667,-161.9519444,Lower Yukon-Kuskokwim,Napakiak,NA
SR-118,Napaskiak,AK-OP-061,NA,332300,625,Napaskiak Electric Utility,153-0000,Napaskiak_grid,Napaskiak,1406834,60.7080556,-161.7661111,Lower Yukon-Kuskokwim,Napaskiak,NA
SR-119,Naukati Bay,AK-OP-005,219,331170,2,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,Naukati Bay,1866964,55.8736111,-133.1847222,Southeast,Naukati Bay,NA
SR-12,Akhiok,AK-OP-001,NA,331010,449,"Akhiok, City of",001-0000,Akhiok_grid,Akhiok,1398007,56.9455556,-154.1702778,Kodiak,Akhiok,NA
SR-120,Nelson Lagoon,AK-OP-063,13477,332320,340,Nelson Lagoon Electrical Coop,156-0000,Nelson Lagoon_grid,Nelson Lagoon,1418948,56.0006152,-161.206974,Aleutians,Nelson Lagoon,NA
SR-121,New Stuyahok,AK-OP-006,221,331480,169,Alaska Village Electric Cooperative,065-2016,New_Stuyahok_grid,New Stuyahok,1406972,59.4527778,-157.3119444,Bristol Bay,New Stuyahok,NA
