AK Plant ID,eia_plant_id,PCE reporting ID,plant_name,OPERATOR_AK_operator Id,eia_operator_id,OPERATOR_Operator_name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,combined_heat_power,Grid Primary voltage (kV),Grid Primary voltage 2 (kV),Phases,Latitude,longitude,Notes
P174,6581,NA,Silvis,AK-OP-131,10210,Ketchikan Public Utilities,217-2009,SEAPA_grid,FALSE,34.5,NA,3,55.381402,-131.517758,NA
P170,59027,NA,Mahoney Lake Hydroelectric,AK-OP-160,60223,Ketchikan Electric Company,217-2009,SEAPA_grid,FALSE,34.5,NA,3,55.419444,-131.537778,NA
P15,7752,NA,Black Bear Lake,AK-OP-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,FALSE,34.5,NA,3,55.476472,-133.14772,"Included in PCE reporting as ""Purchased Power"""
P20,421,331090,Craig,AK-OP-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,FALSE,12.47,NA,3,55.47691,-133.14869,NA
P21,56146,NA,False Island,AK-OP-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,FALSE,12.47,NA,3,55.48918,-133.1345,NA
P19,56147,NA,Viking,AK-OP-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,FALSE,12.47,NA,3,55.540708,-133.102344,NA
P24,61684,NA,Klawock Power Generation Station,AK-OP-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,FALSE,12.47,NA,3,55.553197,-133.08535,NA
P18,56265,NA,South Fork,AK-OP-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,FALSE,34.5,NA,3,55.563333,-132.891111,"Included in PCE reporting as ""Purchased Power"""
P175,70,NA,Swan Lake,AK-OP-131,10210,Ketchikan Public Utilities,217-2009,SEAPA_grid,FALSE,115,115,3,55.615208,-131.356111,NA
P28,7414,331210,Thorne Bay Plant,AK-OP-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,FALSE,4.16,NA,3,55.68586,-132.52892,NA
P43,7792,331170,Naukati Bay,AK-OP-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,FALSE,7.2,NA,3,55.88077,-133.195,NA
P211,NA,332470,Perryville,AK-OP-073,NA,Native Village of Perryville,155-0000,Perryville_grid,TRUE,7.2,NA,3,55.91278,-159.14556,NA
P212,NA,332320,Nelson Lagoon,AK-OP-063,NA,Nelson Lagoon Electrical Coop,156-0000,Nelson Lagoon_grid,FALSE,7.2,NA,3,56.00194,-161.20278,NA
P33,7342,331080,Coffman Cove,AK-OP-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,FALSE,2.4,NA,3,56.01389,-132.82778,NA
P40,7753,331230,Whale Pass,AK-OP-005,219,Alaska Power & Telephone Company,213-0000,Whale_Pass_grid,FALSE,2.4,NA,3,56.11528,-133.12083,NA
P244,61166,NA,Tyee Lake Hydroelectric Facility,AK-OP-124,60770,Southeast Alaska Power Agency,217-2009,SEAPA_grid,FALSE,69,115,3,56.216403,-131.504344,NA
P116,NA,331870,Chignik Lagoon,AK-OP-023,NA,Chignik Lagoon Power Utility,102-0000,Chignik Lagoon_grid,TRUE,7.2,NA,3,56.30995,-158.53142,NA
P273,95,NA,Wrangell,AK-OP-135,21015,"Wrangell, City of",217-2009,SEAPA_grid,TRUE,12.47,NA,3,56.460976,-132.379439,NA
P237,NA,332550,Saint George,AK-OP-082,NA,"Saint George, City of",179-0000,Saint George_grid,TRUE,7.2,NA,3,56.6,-169.54167,NA
P229,91,NA,Blind Slough,AK-OP-110,14856,"Petersburg, City of",217-2009,SEAPA_grid,FALSE,24.9,NA,3,56.81104,-132.957091,NA
P2,NA,331010,Akhiok,AK-OP-001,NA,"Akhiok, City of",001-0000,Akhiok_grid,FALSE,7.2,NA,3,56.94556,-154.17028,NA
P232,NA,332500,Port Heiden,AK-OP-077,NA,Port Heiden Utilities,175-0000,Port Heiden_grid,TRUE,7.2,NA,3,56.94839,-158.62902,NA
P165,7464,332680,Kake,AK-OP-041,18963,Inside Passage Electric,129-0000,Kake_grid,FALSE,12.47,NA,3,56.962983,-133.922557,NA
P241,313,NA,Green Lake,AK-OP-130,17271,"Sitka, City & Borough of",219-0000,Sitka_grid,FALSE,69,NA,3,56.986284,-135.12275,NA
P242,6801,NA,Jarvis Street,AK-OP-130,17271,"Sitka, City & Borough of",219-0000,Sitka_grid,FALSE,69,NA,3,57.0497,-135.3128,NA
P240,93,NA,Blue Lake Hydro,AK-OP-130,17271,"Sitka, City & Borough of",219-0000,Sitka_grid,FALSE,69,NA,3,57.0516,-135.2297,NA
P280,7333,NA,Blue Lake Fish Valve,AK-OP-130,17271,Sitka City of & Borough of,219-0000,Sitka_grid,FALSE,69,NA,3,57.0516,-135.2297,NA
P238,NA,332560,Saint Paul,AK-OP-083,NA,Saint Paul Municipal Electric,180-0000,Saint Paul_grid,TRUE,7.2,NA,3,57.12222,-170.275,NA
P252,NA,NA,Saint Paul Wind,AK-OP-155,NA,TDX St. Paul Wind,180-0000,Saint Paul_grid,FALSE,7.2,NA,3,57.12222,-170.275,NA
P91,6557,331540,Old Harbor,AK-OP-006,221,Alaska Village Electric Cooperative,069-0000,Old Harbor_grid,FALSE,7.2,NA,3,57.20278,-153.30389,NA
P163,7462,332650,Angoon,AK-OP-041,18963,Inside Passage Electric,125-0000,Angoon_grid,TRUE,12.47,NA,3,57.499166,-134.58614,NA
P193,NA,332170,Larsen Bay,AK-OP-052,NA,Larsen Bay Utility Company,139-0000,Larsen Bay_grid,TRUE,7.2,NA,NA,57.53854,-153.97844,NA
P230,NA,332480,Pilot Point,AK-OP-074,NA,Pilot Point Electric Utility,173-0000,Pilot Point_grid,TRUE,7.2,NA,3,57.56417,-157.57917,NA
P100,NA,331740,Karluk,AK-OP-007,NA,Alutiiq Power Company,092-0000,Karluk_grid,FALSE,7.2,NA,3,57.57021,-154.45433,NA
P187,71,NA,Terror Lake Microgrid,AK-OP-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,FALSE,138,NA,3,57.6861,-152.895,NA
P183,7723,NA,Nymans Plant Microgrid,AK-OP-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,FALSE,67,NA,3,57.731608,-152.507044,NA
P186,60250,NA,Swampy Acres Microgrid,AK-OP-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,FALSE,12.47,NA,3,57.77556,-152.48028,NA
P181,60563,NA,Flywheel Energy Storage System Microgrid,AK-OP-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,FALSE,12.47,NA,3,57.780114,-152.443783,NA
P256,NA,332630,Tenakee Springs,AK-OP-092,NA,"Tenakee Springs, City of",189-0000,Tenakee Springs_grid,FALSE,7.2,NA,3,57.78083,-135.21889,NA
P184,57187,NA,Pillar Mountain Wind Project Microgrid,AK-OP-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,FALSE,69,NA,3,57.7869,-152.4406,NA
P182,6281,NA,Kodiak Microgrid,AK-OP-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,FALSE,67,NA,3,57.789956,-152.396982,NA
P180,58405,NA,ESS Battery Microgrid,AK-OP-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,FALSE,12.47,NA,3,57.799167,-152.404167,NA
P185,6282,NA,Port Lions Microgrid,AK-OP-106,10433,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,FALSE,12.47,NA,3,57.864775,-152.855441,NA
P225,NA,332440,Ouzinkie,AK-OP-070,NA,"Ouzinkie, City of",170-0000,Ouzinkie_grid,FALSE,7.2,NA,3,57.92361,-152.50222,NA
P294,60588,NA,Sweetheart Lake Hydroelectric Facility,AK-OP-183,60349,"Juneau Hydropower, Inc",222-0000,Juneau_grid,FALSE,NA,NA,NA,57.9449,-133.6867,Proposed. Not operational
P228,6702,332460,Pelican,AK-OP-072,29297,Pelican Utility,172-0000,Pelican_grid,FALSE,2.4,NA,3,57.957197,-136.220095,NA
P164,7463,332670,Hoonah,AK-OP-041,18963,Inside Passage Electric,128-0000,Hoonah_grid,TRUE,12.47,NA,3,58.106432,-135.43074,NA
P13,78,NA,Snettisham,AK-OP-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,FALSE,138,NA,3,58.1415,-133.737,Owned by AIDEA. Operated by AEL&P
P140,NA,331960,Elfin Cove,AK-OP-031,NA,Elfin Cove Utility Commission,112-0000,Elfin Cove_grid,TRUE,2.4,NA,NA,58.19444,-136.34333,NA
P139,7180,331940,Egegik,AK-OP-029,5553,Egegik Light & Power Co,111-0000,Egegik_grid,TRUE,7.2,NA,3,58.21556,-157.37583,NA
P10,57085,NA,Lake Dorothy Hydroelectric Project,AK-OP-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,FALSE,138,NA,3,58.2325,-134.0533,NA
P8,63,NA,Gold Creek,AK-OP-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,FALSE,12,NA,3,58.3107,-134.4174,NA
P6,62,NA,Annex Creek,AK-OP-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,FALSE,23,NA,3,58.3176,-134.101,NA
P12,65,NA,Salmon Creek 1,AK-OP-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,FALSE,69,NA,3,58.3269,-134.4631,NA
P11,64,NA,Lemon Creek,AK-OP-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,FALSE,69,NA,3,58.3536,-134.4953,NA
P9,59793,NA,Industrial Plant,AK-OP-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,FALSE,69,NA,3,58.367635,-134.60802,NA
P7,7250,NA,Auke Bay,AK-OP-133,213,Alaska Electric Light & Power Company,222-0000,Juneau_grid,FALSE,69,NA,3,58.3875,-134.6446,NA
P35,65767,332010,Gustavus,AK-OP-005,219,Alaska Power & Telephone Company,118-0000,Gustavus_grid,FALSE,7.2,NA,3,58.41333,-135.73694,NA
P207,6301,332280,Naknek,AK-OP-059,13201,Naknek Electric Association,150-0000,Naknek_grid,TRUE,7.2,NA,3,58.730417,-157.007222,NA
P196,NA,332210,Manokotak,AK-OP-056,NA,Manokotak Power Company,142-0000,Manokotak_grid,TRUE,7.2,NA,3,58.98139,-159.05833,NA
P231,NA,332490,Platinum,AK-OP-075,NA,"Platinum, City of",174-0000,Platinum_grid,TRUE,NA,NA,3,59.01306,-161.81639,NA
P224,109,332430,Dillingham,AK-OP-069,13870,Nushagak Electric Cooperative,169-0000,Dillingham_grid,TRUE,12,NA,3,59.042914,-158.468597,NA
P75,6348,331690,Togiak,AK-OP-006,221,Alaska Village Electric Cooperative,086-2020,Togiak_grid,TRUE,12.5,NA,3,59.059744,-160.380278,NA
P260,NA,332730,Twin Hills,AK-OP-006,221,Alaska Village Electric Cooperative,086-2020,Togiak_grid,FALSE,NA,NA,NA,59.07917,-160.275,NA
P194,NA,332180,Levelock,AK-OP-053,NA,Levelock Electrical Coop,140-0000,Levelock_grid,TRUE,7.2,NA,3,59.115,-156.85667,NA
P82,6316,331330,Goodnews Bay,AK-OP-006,221,Alaska Village Electric Cooperative,047-0000,Goodnews Bay_grid,TRUE,7.2,NA,3,59.11889,-161.5875,NA
P22,69,331120,Haines,AK-OP-005,219,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,FALSE,12.47,NA,3,59.235931,-135.446228,PCE reporting includes diesel and hydro generation
P161,NA,332040,Igiugig,AK-OP-039,NA,Igiugig Electric Company,121-0000,Igiugig_grid,TRUE,7.2,NA,3,59.32778,-155.89472,NA
P42,NA,NA,Lutak,AK-OP-005,219,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,FALSE,7.2,NA,3,59.3411111,-135.5655556,"Included in PCE reporting as ""Purchased Power"""
P17,56542,NA,Kasidaya Creek Hydro,AK-OP-005,219,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,FALSE,34.5,NA,3,59.4072,-135.3408,"Included in PCE reporting as ""Purchased Power"""
P158,6283,NA,Seldovia,AK-OP-105,19558,Homer Electric Assn Inc,215-1985,Railbelt_grid,FALSE,12.4,NA,3,59.439542,-151.713439,NA
P188,NA,332100,Kokhanok,AK-OP-046,NA,Kokhanok Village Council,134-0000,Kokhanok_grid,TRUE,7.2,NA,3,59.4416,-154.75514,NA
P61,6334,331480,New Stuyahok,AK-OP-006,221,Alaska Village Electric Cooperative,065-0000,New Stuyahok_grid,TRUE,12.5,NA,3,59.448358,-157.325528,NA
P61,60245,331480,New Stuyahok,AK-OP-006,221,Alaska Village Electric Cooperative,065-0000,New Stuyahok_grid,TRUE,12.5,NA,3,59.448358,-157.325528,NA
P41,NA,NA,Dewey Lakes ,AK-OP-005,219,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,FALSE,NA,NA,3,59.4511,-135.3081,"Included in PCE reporting as ""Purchased Power"""
P26,66,331190,Skagway,AK-OP-005,219,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,FALSE,2.4,NA,3,59.4545,-135.3131,PCE reporting includes diesel and hydro generation
P16,7751,NA,Goat Lake Hydro,AK-OP-005,219,Alaska Power & Telephone Company,032-1998,UpperLynnCanal_grid,FALSE,34.5,NA,3,59.5357,-135.2123,"Included in PCE reporting as ""Purchased Power"""
P78,6637,332900,Yakutat,AK-OP-006,221,Alaska Village Electric Cooperative,091-0000,Yakutat_grid,TRUE,4.16,NA,3,59.544553,-139.724306,NA
P213,NA,332110,Koliganek,AK-OP-064,NA,New Koliganek Village Council,157-0000,Koliganek_grid,TRUE,7.2,NA,3,59.72861,-157.28444,NA
P66,6337,331570,Quinhagak,AK-OP-006,221,Alaska Village Electric Cooperative,071-0000,Quinhagak_grid,TRUE,13.47,NA,3,59.747436,-161.910647,NA
P66,57057,331570,Quinhagak,AK-OP-006,221,Alaska Village Electric Cooperative,071-0000,Quinhagak_grid,TRUE,13.47,NA,3,59.747436,-161.910647,NA
P156,7367,NA,Bradley Lake,AK-OP-105,19558,Homer Electric Assn Inc,215-1985,Railbelt_grid,FALSE,115,NA,3,59.77862,-150.94015,NA
P227,NA,332450,Pedro Bay,AK-OP-071,NA,Pedro Bay Village Council,171-0000,Pedro Bay_grid,TRUE,7.2,NA,3,59.78722,-154.10611,NA
P192,NA,332160,Kwigillingok,AK-OP-051,NA,Kwigillingok Power Company,138-0000,Kwigillingok_grid,TRUE,7.2,NA,3,59.86393,-163.13322,NA
P233,NA,332510,Kongiganak,AK-OP-078,NA,Puvurnaq Power Company,176-0000,Kongiganak_grid,TRUE,7.2,NA,3,59.88,-163.054,NA
P162,7183,332050,Newhalen,AK-OP-040,9188,"I-N-N Electric Coop, Inc",123-1983,Newhalen_grid,TRUE,2.5,NA,3,59.899054,-154.698735,NA
P178,NA,332080,Kipnuk,AK-OP-044,NA,Kipnuk Light Plant,132-0000,Kipnuk_grid,NA,7.2,NA,3,59.93889,-164.04139,NA
P115,NA,331850,Chenega Bay,AK-OP-020,NA,Chenega Ira Council,101-0000,Chenega_grid,TRUE,7.2,NA,3,60.06571,-148.01038,NA
P239,92,NA,Seward,AK-OP-111,16955,"Seward, City of",215-1985,Railbelt_grid,FALSE,150,NA,3,60.130922,-149.43501,NA
P210,NA,332310,Chefornak,AK-OP-062,NA,Naterkaq Light Plant (City of Chefornak),154-0000,Chefornak_grid,TRUE,7.2,NA,3,60.16,-164.26583,NA
P248,NA,332590,Port Alsworth,AK-OP-085,NA,Tanalian Electric Cooperative,183-0000,Port Alsworth_grid,TRUE,7.2,NA,3,60.2025,-154.31278,NA
P80,6312,331290,Eek,AK-OP-006,221,Alaska Village Electric Cooperative,041-0000,Eek_grid,TRUE,7.2,NA,1,60.21889,-162.02444,NA
P259,NA,332720,Tuntutuliak,AK-OP-094,NA,Tuntutuliak Community,191-0000,Tuntutuliak_grid,TRUE,7.2,NA,3,60.34306,-162.66306,NA
P87,6327,331450,Mekoryuk,AK-OP-006,221,Alaska Village Electric Cooperative,062-0000,Mekoryuk_grid,TRUE,7.2,NA,3,60.38806,-166.185,NA
P121,6291,NA,Cooper Lake,AK-OP-132,3522,Chugach Electric Assn Inc,215-1985,Railbelt_grid,FALSE,69,NA,3,60.392331,-149.665603,NA
P89,NA,331490,Nightmute,AK-OP-006,221,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,FALSE,7.2,NA,1,60.47944,-164.72389,NA
P159,4252,NA,Soldotna,AK-OP-170,288,Alaska Electric G & T Coop Inc,215-1985,Railbelt_grid,FALSE,115,NA,3,60.499444,-150.997222,NA
P159,57206,NA,Soldotna,AK-OP-105,19558,Homer Electric Assn Inc,215-1985,Railbelt_grid,FALSE,115,NA,3,60.499444,-150.997222,NA
P76,6349,331700,Toksook Bay,AK-OP-006,221,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,TRUE,13.47,NA,3,60.530142,-165.108575,NA
P76,57067,331700,Toksook Bay,AK-OP-006,221,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,TRUE,13.47,NA,3,60.530142,-165.108575,NA
P131,62714,NA,Eyak Service Center BESS,AK-OP-027,40215,Cordova Electric Cooperative,014-1990,Cordova_grid,FALSE,13,NA,3,60.54047,-145.74079,NA
P133,789,NA,Orca,AK-OP-027,40215,Cordova Electric Cooperative,014-1990,Cordova_grid,FALSE,13,NA,3,60.555889,-145.752983,NA
P292,NA,331920,"Cordova, Eyak",AK-OP-027,40215,Cordova Electric Cooperative,014-1990,Cordova_grid,FALSE,13,NA,3,60.555889,-145.752983,"Includes EIA: Orca, Humpback Creek, Power Creek, Eyak Service Center BESS"
P97,6350,331710,Tununak,AK-OP-006,221,Alaska Village Electric Cooperative,088-2008,Toksook Bay_grid,FALSE,7.2,NA,1,60.58513,-165.25549,NA
P134,7862,NA,Power Creek,AK-OP-027,40215,Cordova Electric Cooperative,014-1990,Cordova_grid,FALSE,13,NA,3,60.588686,-145.604539,NA
P132,7042,NA,Humpback Creek,AK-OP-027,40215,Cordova Electric Cooperative,014-1990,Cordova_grid,FALSE,13,NA,3,60.612822,-145.679411,NA
P1,54452,NA,Agrium Kenai Nitrogen Operations,AK-OP-121,179,Agrium US Inc,215-1985,Railbelt_grid,FALSE,24.8,NA,3,60.6732,-151.3784,NA
P157,55966,NA,Nikiski Co-Generation,AK-OP-105,19558,Homer Electric Assn Inc,215-1985,Railbelt_grid,FALSE,115,NA,3,60.676539,-151.377713,NA
P257,52184,NA,Tesoro Kenai Cogeneration Plant,AK-OP-125,18617,Tesoro Alaska Company,215-1985,Railbelt_grid,TRUE,25,NA,3,60.677,-151.3815,NA
P155,6292,NA,Bernice Lake,AK-OP-105,19558,Homer Electric Assn Inc,215-1985,Railbelt_grid,FALSE,69,115,3,60.6935,-151.3874,NA
P209,NA,332300,Napaskiak,AK-OP-061,NA,Napaskiak Electric Utility,153-0000,Napaskiak_grid,FALSE,7.2,NA,3,60.70806,-161.76611,NA
P47,6566,331800,Bethel,AK-OP-006,221,Alaska Village Electric Cooperative,034-1988,Bethel_grid,FALSE,2.4,NA,3,60.7897,-161.787778,NA
P191,NA,332150,Kwethluk,AK-OP-050,NA,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,137-0000,Kwethluk_grid,TRUE,7.2,NA,3,60.81222,-161.43583,NA
P250,NA,332610,Tatitlek,AK-OP-087,NA,Tatitlek Village Ira Council,185-0000,Tatitlek_grid,TRUE,NA,NA,NA,60.86472,-146.67861,NA
P108,NA,331780,Atmautluak,AK-OP-012,NA,Atmautluak Tribal Utilities,096-0000,Atmautluak_grid,TRUE,7.2,NA,3,60.86694,-162.27306,NA
P54,57066,331390,Kasigluk,AK-OP-006,221,Alaska Village Electric Cooperative,055-0000,Kasigluk_grid,TRUE,13.47,NA,3,60.8731,-162.5197,NA
P64,6333,331530,Nunapitchuk,AK-OP-006,221,Alaska Village Electric Cooperative,204-0000,Nunapitchuk_grid,FALSE,12.5,NA,3,60.89588,-162.459756,NA
P3,NA,331020,Akiachak,AK-OP-003,NA,Akiachak Native Community,002-0000,Akiachak_grid,TRUE,7.2,NA,NA,60.90944,-161.43139,NA
P4,NA,331030,Akiak,AK-OP-002,NA,Akiak City Council,003-0000,Akiak_grid,TRUE,7.2,NA,3,60.91222,-161.21389,NA
P265,NA,332870,Newtok,AK-OP-099,NA,Ungusraq Power Company,196-0000,Newtok_grid,TRUE,7.2,NA,3,60.94278,-164.62944,NA
P128,390,NA,Solomon Gulch,AK-OP-103,4329,Copper Valley Elec Assn Inc,216-1982,CopperValley_grid,FALSE,14.4,138,3,61.0828,-146.3033,NA
P130,7841,NA,Valdez Cogen,AK-OP-103,4329,Copper Valley Elec Assn Inc,216-1982,CopperValley_grid,TRUE,14.4,138,3,61.0839,-146.2529,NA
P126,58982,NA,Allison Creek Hydro,AK-OP-103,4329,Copper Valley Elec Assn Inc,216-1982,CopperValley_grid,FALSE,14.4,138,3,61.084444,-146.353333,NA
P258,NA,332710,Tuluksak,AK-OP-093,NA,Tuluksak Traditional,190-0000,Tuluksak_grid,FALSE,7.2,NA,3,61.1025,-160.96167,NA
P142,58425,NA,Fire Island Wind,AK-OP-115,58422,Fire Island Wind LLC,215-1985,Railbelt_grid,FALSE,34.5,NA,3,61.13,-150.243611,NA
P129,6306,NA,Valdez,AK-OP-103,4329,Copper Valley Elec Assn Inc,216-1982,CopperValley_grid,FALSE,138,14.4,3,61.1303,-146.3647,NA
P123,57036,NA,Southcentral Power Project,AK-OP-132,3522,Chugach Electric Assn Inc,215-1985,Railbelt_grid,FALSE,138,NA,3,61.167417,-149.905304,NA
P122,6293,NA,International,AK-OP-132,3522,Chugach Electric Assn Inc,215-1985,Railbelt_grid,FALSE,138,NA,3,61.168972,-149.911038,NA
P120,96,NA,Beluga,AK-OP-132,3522,Chugach Electric Assn Inc,215-1985,Railbelt_grid,FALSE,138,NA,3,61.1861,-151.0356,NA
P101,75,NA,Anchorage 1,AK-OP-132,3522,Chugach Electric Assn Inc,215-1985,Railbelt_grid,FALSE,115,NA,3,61.2221,-149.8661,NA
P103,6559,NA,George M Sullivan Generation Plant 2,AK-OP-132,3522,Chugach Electric Assn Inc,215-1985,Railbelt_grid,FALSE,115,NA,3,61.229713,-149.716744,NA
P138,58380,NA,JBER Landfill Gas Power Plant,AK-OP-122,58368,Doyon Utilities LLC,215-1985,Railbelt_grid,FALSE,34.5,NA,3,61.286,-149.61,NA
P195,NA,332190,Lime Village,AK-OP-054,NA,Lime Village Electric Utility,141-0000,Lime Village_grid,FALSE,NA,NA,NA,61.35639,-155.43556,NA
P197,58989,NA,Eklutna Generation Station,AK-OP-107,11824,Matanuska Electric Association,215-1985,Railbelt_grid,FALSE,115,NA,3,61.457778,-149.351389,NA
P102,77,NA,Eklutna Hydro Project,AK-OP-175,NA,Municipality of Anchorage d/b/a Anchorage Hydropower,215-1985,Railbelt_grid,FALSE,115,NA,3,61.475211,-149.15009,NA
P119,NA,331890,Chitina,AK-OP-024,NA,Chitina Electric Inc,105-0000,Chitina_grid,TRUE,7.2,NA,3,61.51583,-144.43694,NA
P49,6311,331280,Chevak,AK-OP-006,221,Alaska Village Electric Cooperative,040-0000,Chevak_grid,TRUE,12.5,NA,3,61.525297,-165.590152,NA
P77,57054,331720,Upper Kalskag,AK-OP-006,221,Alaska Village Electric Cooperative,052-2005,Upper Kalskag_grid,FALSE,13.47,NA,3,61.526858,-160.348128,NA
P53,6319,331360,Hooper Bay,AK-OP-006,221,Alaska Village Electric Cooperative,050-0000,Hooper Bay_grid,TRUE,12.5,NA,3,61.530858,-166.101944,NA
P202,NA,332230,Chuathbaluk,AK-OP-058,NA,Middle Kuskokwim Electric,144-0000,Chuathbaluk_grid,FALSE,7.2,NA,3,61.57194,-159.245,NA
P105,7182,331760,Aniak,AK-OP-009,4959,Aniak Light & Power,093-0000,Aniak_grid,FALSE,2.4,NA,3,61.580678,-159.535643,NA
P235,66887,NA,Houston Solar,AK-OP-151,65807,"Energy 49, LLC",215-1985,Railbelt_grid,FALSE,24.9,NA,3,61.59,-149.79,NA
